target,mean,lo,hi
1.1284068,1.8148695,1.2151802,2.3196223
1.3760762,1.7016335,1.000221,2.1929653
1.4144907,1.7486281,1.2890495,2.253923
1.4653004,1.6382,1.1739389,2.0934649
1.4513769,1.6819751,1.0693412,2.2395868
1.2667735,1.3775586,0.80866367,1.9189813
1.1723866,1.5707749,1.0784432,2.0755548
1.1139294,1.2084612,0.47259057,1.9933205
0.868674,1.388113,0.7456512,1.9556948
2.0212722,2.3655891,1.7827581,3.0912697
1.5956626,2.1384308,1.5598527,2.5968888
1.6050767,1.5666727,1.1424966,2.1882174
0.97840536,1.078427,0.5055561,1.510835
2.289383,1.9904696,1.6027226,2.3639216
1.4879586,1.8089577,1.031866,2.5238757
1.5513692,1.7760025,1.2790858,2.5894284
1.1756305,1.3112835,0.85481334,1.8384306
0.99435616,1.4017769,0.8070603,2.0146878
1.164666,1.4353575,0.84045935,2.0378542
1.0940974,1.208108,0.8173439,1.6950572
1.1067027,1.4582782,0.78949344,1.9621488
1.8036748,2.1862774,1.6550211,2.7268322
1.5933839,1.8662081,1.4189013,2.4440684
1.752171,1.3592085,0.7672155,2.0183754
1.6281022,1.0465963,0.48817062,1.4642618
1.503488,0.83610487,0.17574733,1.6809756
1.5085266,0.91276497,0.32633296,1.5716568
2.7936583,2.4883785,1.8609631,3.0505095
2.667291,2.5238812,1.8629539,3.0692902
2.205727,1.9834464,1.4697026,2.545651
1.9871175,1.795248,1.4394006,2.3453429
1.7694478,1.7301943,1.2803515,2.166721
0.9631261,1.2474726,0.4444673,1.8852882
1.3436333,1.2609951,0.7787801,1.6056808
1.1401851,1.1087819,0.43804562,1.6696073
1.1574023,1.3839651,0.83157104,1.9961646
1.5812247,1.8250302,1.2544253,2.4434056
1.4000893,1.6711229,1.1479057,2.3253822
1.6496499,1.2114574,0.69108415,1.8203546
1.4740864,0.9736348,0.49504998,1.4782863
1.2012011,0.7607809,0.14300095,1.1881684
1.2654569,0.8336528,0.28708377,1.2986782
2.4483652,2.0907104,1.6659355,2.5157812
2.590342,2.2027953,1.6400731,2.833812
1.8362163,1.7551528,1.3796233,2.2804348
1.5368389,1.5180612,1.0594873,2.0511541
1.4069824,1.5283777,0.9834873,2.0849056
1.4530065,1.3797826,0.88161343,1.831684
1.5407989,1.2735574,0.6642396,1.8419968
1.2842417,1.254155,0.6916258,2.0041215
1.2239097,1.3896536,0.8611332,1.8508391
1.4657811,1.8849308,1.4254315,2.4329152
1.0992657,1.5938411,1.1755835,2.061636
1.1852382,1.5496701,0.8528394,2.005624
1.1904012,1.4908844,1.1021743,1.9818794
1.3364882,1.4698274,0.9550265,2.0509038
1.3453346,1.3776714,0.7429882,1.8563256
1.2790442,1.2220002,0.7756707,1.6812018
1.1923702,1.4508983,1.0008789,2.0242777
1.1008854,1.0964366,0.47488156,1.8167367
3.1488376,3.407329,2.945863,3.851201
2.581678,2.9308789,2.4373837,3.568783
2.4387393,2.9775424,2.5056548,3.497934
4.206282,4.8976293,4.400231,5.3544593
3.5493855,4.277116,3.7282367,4.8351197
2.9225202,3.7004747,3.2314935,4.134748
2.9502506,3.2476616,2.7762544,3.8651905
2.3305497,2.4466853,2.02121,2.8989184
2.2705739,2.5481467,2.1213987,3.0762687
4.538493,3.8671339,3.4139764,4.3285904
3.8223588,3.9739006,3.3761322,4.465382
3.470253,3.615863,3.007767,4.1878743
3.0227108,3.145482,2.6730525,3.5881684
2.670455,3.274325,2.7262223,3.77484
2.7646482,2.8493514,2.3818526,3.4112148
2.286983,2.4474134,1.9608803,3.0199606
2.128858,2.5045934,1.9758124,2.9320314
2.5374417,3.2522776,2.627045,3.8114576
2.4551752,2.7542877,2.290388,3.1782606
2.5463707,2.6742089,2.161069,3.1257608
2.435583,2.7219307,2.172993,3.543251
2.4611661,2.6158998,2.1613998,3.0477958
2.5209415,2.694971,2.1686394,3.3322227
2.1431289,2.2164779,1.7669469,2.6922402
1.9353529,2.3585203,1.9778624,2.6567636
1.8789506,2.1271544,1.608883,2.6471689
1.4073787,1.3938438,0.9022919,1.8344766
2.9558165,2.3661823,1.8555144,2.8854008
1.937823,1.8927122,1.353272,2.4855871
3.2858555,2.1557992,1.5713875,2.7539387
1.5205535,2.2095253,1.6899036,2.6671789
1.3033926,1.6451263,0.93716335,2.2512841
1.4613372,1.5144808,0.8270357,2.1891994
1.6462473,1.4196581,0.9866516,1.961643
1.0706987,1.6026189,1.0448638,2.1305394
1.3494223,1.4407712,0.9574472,1.9439496
1.3279766,1.4761224,0.93221825,1.9849765
