target,mean,lo,hi
2.131944,2.306245,1.7326671,2.995492
2.3610914,2.292061,1.7789578,2.7385013
2.4349148,2.0466397,1.5586964,2.5140395
1.8687062,1.7877569,1.1595232,2.4445505
1.9492755,1.8546953,1.2584453,2.3322797
1.6853356,2.3165824,1.7910863,2.8630455
1.9829631,2.3969092,1.733625,2.9171686
2.0848403,2.028853,1.640271,2.433831
1.6694678,1.8705037,1.2653261,2.4464257
1.4786165,1.8062961,1.361003,2.2116356
1.4515952,1.8087496,1.2982987,2.315843
1.7531729,2.0440354,1.4982138,2.4611616
1.4213266,1.6781954,1.2849625,2.1323998
2.1259825,1.8885692,1.2919254,2.4997048
1.741674,1.5454541,1.04083,1.9328587
1.4940525,1.6299554,0.9743056,2.1076262
1.7959347,2.1426992,1.4824948,2.7785835
1.3893425,1.8152776,1.396023,2.45969
1.7467092,1.8774133,1.4826714,2.3594248
1.8736324,1.9100994,1.4836023,2.4384975
1.7683566,1.7236636,1.2796828,2.283996
1.4423678,1.4488674,0.9855543,1.9586381
1.5591612,1.4921767,1.0250194,2.0020308
1.3830246,1.8715179,1.3839691,2.3888364
2.5890872,2.4378653,1.855893,2.980733
3.9089782,3.7781582,3.1213894,4.376997
3.30533,3.516431,3.0873582,3.9559984
4.36489,3.113095,2.6813684,3.7917895
3.3840394,3.59787,3.03288,4.0249047
2.7259371,3.1851892,2.5200832,3.5887678
2.4473188,2.8313637,2.2718801,3.3761556
2.215713,2.1908684,1.618025,2.6415722
2.5036907,2.021209,1.4594761,2.559121
2.2036004,3.0497127,2.5341196,3.5169516
2.4917808,2.9672968,2.579869,3.3872821
2.684044,2.460155,2.0083272,2.9982386
2.1852565,2.1127877,1.6419828,2.6389203
1.8908843,2.0418093,1.5718989,2.4329028
1.8820314,2.2871728,1.7116592,2.7771564
2.0442219,2.952978,2.3304765,3.3885188
1.6310744,2.2931023,1.9300429,2.7306068
1.41809,2.2531095,1.737655,2.6587918
3.3487957,3.7309766,3.2653744,4.4024973
3.0954127,3.7010324,3.0720687,4.2427154
2.929462,3.2464352,2.686789,3.7345784
2.2615457,2.4339929,1.9021986,2.969196
1.5527811,2.3749325,1.9054401,2.8709283
3.272423,3.9322867,3.4830923,4.4092116
2.5179448,3.5664887,2.95215,4.24213
2.4803643,3.2284365,2.691503,3.7668183
2.8618164,3.142795,2.67232,3.5979822
3.3969831,2.9612625,2.2093089,3.6642704
3.3354483,2.3002558,1.7660897,2.8127337
3.3872252,2.1768548,1.6633347,2.6902335
4.3066525,3.6108959,3.051876,4.1920958
2.8157182,3.4015152,2.9450715,3.978193
2.3874292,3.0453143,2.5925002,3.4869986
2.4556828,3.0443375,2.644668,3.534831
2.6291618,3.294506,2.938693,3.8377354
2.4790928,2.903443,2.434918,3.56816
2.4828205,2.351027,1.9813446,2.8442788
3.2384233,2.3179765,1.8983847,2.7999718
2.302075,2.4076273,1.8903205,3.045017
2.5288982,3.524566,2.881738,4.0228887
1.5653973,2.66523,2.2134998,3.1603136
3.3119025,3.7142465,2.9445395,4.3265853
2.2860572,2.9270916,2.5766459,3.378031
1.6011146,2.850427,2.1389234,3.482558
3.473265,2.6404994,2.1634538,3.138235
3.232723,2.6420064,2.0821896,3.2702975
3.0240183,2.722831,2.2023888,3.3584776
2.0924506,2.8948708,2.4190724,3.4534867
1.8332992,2.1559637,1.3986455,2.912125
1.7550552,2.2726414,1.7524409,2.9119706
3.3888667,3.7411363,3.0824091,4.327505
3.2042387,3.620954,3.0340028,4.21764
3.2644732,3.2785637,2.597426,3.780094
2.8335931,3.4226391,2.6955879,4.1298103
2.4528348,2.9122295,2.2226958,3.622134
2.084564,2.2656355,1.8525656,2.6564662
1.8069985,2.2068706,1.6351067,2.7572272
3.4289944,3.6710827,3.0234222,4.2142415
2.9106908,3.341779,2.884005,4.055237
2.5496361,3.1336398,2.6219802,3.6871169
2.7727892,2.9009411,2.4044652,3.4632063
3.4384208,2.6535354,2.2071927,2.9819932
2.870146,2.1706192,1.6542406,3.0419161
2.1082299,2.085276,1.5077251,2.5983474
2.7393441,3.2483654,2.5777178,3.8432214
2.408971,3.010889,2.5013466,3.5331843
2.7539442,3.1290426,2.420089,3.7259142
2.8365366,2.2834806,1.7123169,2.782742
3.138971,2.198827,1.6502526,2.6359265
2.3404582,3.2124062,2.8833625,3.6284368
1.5390897,2.4613075,1.8382672,3.130853
1.115588,2.28246,1.589089,2.9629412
4.281919,4.3789177,3.7892013,4.8305225
4.089861,4.2072144,3.6561506,4.669843
3.4388082,3.8738987,3.4276443,4.359539
