block_width,t,method,rmse
13,81,Centroid,0.7580365255025526
13,82,Support-aware,0.5325852187689651
13,82,PostAgg,0.53535641394856
13,82,Centroid,0.7001927960156406
13,83,Support-aware,0.5857347006640115
13,83,PostAgg,0.5193458816916806
13,83,Centroid,0.5213123432037541
13,84,Support-aware,0.8032626427503494
13,84,PostAgg,0.80441498002162
13,84,Centroid,0.8239048212093961
13,85,Support-aware,0.23342390980381586
13,85,PostAgg,0.29256536721497556
13,85,Centroid,0.3545858418235484
13,86,Support-aware,0.6779363303835387
13,86,PostAgg,0.6861564586198725
13,86,Centroid,0.7163982008118336
13,87,Support-aware,0.2228452008960266
13,87,PostAgg,0.22606963295617974
13,87,Centroid,0.29000260087654306
13,88,Support-aware,0.23295218742739496
13,88,PostAgg,0.31787828363303117
13,88,Centroid,0.4177562367337822
13,89,Support-aware,0.2764616887887053
13,89,PostAgg,0.3804670952362581
13,89,Centroid,0.4506972021580585
13,90,Support-aware,0.20606037544194128
13,90,PostAgg,0.08227102953423723
13,90,Centroid,0.16357224559942632
13,91,Support-aware,0.18891630997650677
13,91,PostAgg,0.1955177051612899
13,91,Centroid,0.28800124191090815
13,92,Support-aware,0.18637778004939107
13,92,PostAgg,0.15939180560716412
13,92,Centroid,0.19909337374629524
13,93,Support-aware,0.19766256104559468
13,93,PostAgg,0.2366355527108251
13,93,Centroid,0.29519763814131955
13,94,Support-aware,0.2649758278188526
13,94,PostAgg,0.1639819737363357
13,94,Centroid,0.2199004833653472
13,95,Support-aware,0.19175134569713434
13,95,PostAgg,0.1985872625906964
13,95,Centroid,0.23634250541656399
13,96,Support-aware,0.23411959477121072
13,96,PostAgg,0.34691957993375816
13,96,Centroid,0.41064047815151944
13,97,Support-aware,0.20907315540071011
13,97,PostAgg,0.19923680049359233
13,97,Centroid,0.28260107488308145
13,98,Support-aware,0.19348081784579535
13,98,PostAgg,0.16697299234810398
13,98,Centroid,0.24952987027052626
13,99,Support-aware,0.27164712705385025
13,99,PostAgg,0.333012724762383
13,99,Centroid,0.4374367952993713
13,100,Support-aware,0.5212276155330219
13,100,PostAgg,0.2885432181137308
13,100,Centroid,0.2932999093384484
13,101,Support-aware,0.2769254624438865
13,101,PostAgg,0.444322006949957
13,101,Centroid,0.5473629432686846
17,0,Support-aware,0.39122444419882935
17,0,PostAgg,0.5665075646378105
17,0,Centroid,0.7698805288075481
17,1,Support-aware,0.28983944631386876
17,1,PostAgg,0.3948731732966348
17,1,Centroid,0.5665386019832807
17,2,Support-aware,0.5039085509390147
17,2,PostAgg,0.6378578046953014
17,2,Centroid,0.779205954041797
17,3,Support-aware,0.5112085926020091
17,3,PostAgg,0.6699765173730989
17,3,Centroid,0.8256816144265307
17,4,Support-aware,0.667095441384159
17,4,PostAgg,0.9449453507357235
17,4,Centroid,1.121614085452036
17,5,Support-aware,0.5468776276498007
17,5,PostAgg,0.7660339739296367
17,5,Centroid,0.9058809928743787
17,6,Support-aware,0.3318747043639501
17,6,PostAgg,0.4831911591594181
17,6,Centroid,0.6509315688377554
17,7,Support-aware,0.3267532349899892
17,7,PostAgg,0.47137282544054104
17,7,Centroid,0.661365718065224
17,8,Support-aware,0.19683894784684905
17,8,PostAgg,0.26770851658951417
17,8,Centroid,0.5742457488629227
17,9,Support-aware,0.3837707077211614
17,9,PostAgg,0.4392958893701387
17,9,Centroid,0.8739083660880393
