support,rmse,mae,crps,coverage90,width90,rep,method
small,0.183940446762229,0.1339547405617553,0.104861689387634,0.675,0.3171772802361128,4,Centroid
medium,0.1478303419039486,0.1107011741063337,0.0850367601944496,0.7708333333333334,0.3174246803604398,4,Centroid
large,0.1027846486899775,0.0757818038731179,0.0579713056202874,0.875,0.316160646896572,4,Centroid
wide,0.1607848868562036,0.1165914275557618,0.0905502767929505,0.7333333333333333,0.3169977539401569,4,Centroid
union,0.2505180319648161,0.1754715557064825,0.1443376617082059,0.6041666666666666,0.3166378953702136,4,Centroid
point,0.1872075995258496,0.1281177180623563,0.1043145017314079,0.6791666666666667,0.3179322887356541,4,PostAgg
small,0.1818985555140908,0.1323334282225423,0.1040659126104211,0.6541666666666667,0.3062739406958856,4,PostAgg
medium,0.1410615164331846,0.1058524687181748,0.0820014832000482,0.7375,0.2926040740053845,4,PostAgg
large,0.0759113270960962,0.0570387460660043,0.0450869726176074,0.9125,0.2878217246166633,4,PostAgg
wide,0.0668578446624228,0.0476440143051591,0.0414034077770112,0.95,0.2868661438066268,4,PostAgg
union,0.1191833458218028,0.0867481429506964,0.0675950723316213,0.7958333333333333,0.2909192088960613,4,PostAgg
