support,rmse,mae,crps,coverage90,width90,rep,method
small,0.2124838817904552,0.1654010077717382,0.1280835322802898,0.68,0.4042955946573458,3,Centroid
medium,0.1345773443162263,0.1074723363980169,0.0819381535928191,0.855,0.405232288048289,3,Centroid
large,0.1639290269362185,0.1299927160232883,0.0968330325375915,0.78,0.4053999244729901,3,Centroid
circle,0.1585716663219863,0.1265691601366024,0.0935789388614508,0.8,0.4054663151465519,3,Centroid
union,0.2096691805301625,0.1627706321448188,0.1247426993943939,0.67,0.4054538585579514,3,Centroid
point,0.2610754211282246,0.204200210361618,0.162266230394637,0.5675,0.4050220940227089,3,PostAgg
small,0.2161765035018276,0.1706789569991268,0.1321932102353814,0.645,0.395525863507967,3,PostAgg
medium,0.0845719527048009,0.0679845643144466,0.0571221005523825,0.93,0.3799031891115069,3,PostAgg
large,0.0419565419217621,0.0341852820160283,0.0386197065510951,1.0,0.3759419561908219,3,PostAgg
circle,0.0592736419690153,0.0456318678356048,0.0452568693323313,0.985,0.3775061962504659,3,PostAgg
union,0.0998406250487206,0.0789966430727768,0.0625246852375119,0.9075,0.3792725048883871,3,PostAgg
point,0.1575740105207975,0.124434212388614,0.0970472754989626,0.6725,0.3074481835909567,4,SA-BNO
small,0.1311221932033069,0.1030729052950915,0.0823355308740466,0.67,0.2807477835414208,4,SA-BNO
medium,0.0560209643820336,0.0441638863833809,0.0411396236077343,0.8725,0.2283469724164067,4,SA-BNO
large,0.0289381081581007,0.0218577853071348,0.0336343928969223,0.9275,0.2171302591198379,4,SA-BNO
circle,0.0399011917108514,0.0312163620530323,0.0340071298234336,0.935,0.2214057059462403,4,SA-BNO
union,0.0618171292123116,0.0477056603106377,0.0438575514199496,0.8525,0.2291856023417973,4,SA-BNO
point,0.279795131815973,0.2227324984008745,0.1806644167969553,0.51,0.4053194372314033,4,Centroid
small,0.2247578231256808,0.1745067355841222,0.1358552738407514,0.615,0.4051461037716162,4,Centroid
medium,0.1395511909964541,0.1124852471075234,0.0832891841223007,0.86,0.4045759686991721,4,Centroid
large,0.1592539735868133,0.1242337585278446,0.0965003757996369,0.78,0.4053863167614831,4,Centroid
circle,0.1623780766185161,0.1294116719518289,0.0968707590504598,0.775,0.4056546958035973,4,Centroid
union,0.2057374402030647,0.1643429733635459,0.1227269935931211,0.6675,0.4053108585286897,4,Centroid
point,0.279795131815973,0.2227324984008745,0.1806644167969553,0.51,0.4053194372314033,4,PostAgg
small,0.2293147960852989,0.1785320438408338,0.1391084044089059,0.62,0.3960592657129113,4,PostAgg
medium,0.0850058630277633,0.0683447006356672,0.0554416724590235,0.9575,0.3795510906026274,4,PostAgg
large,0.0421739176366784,0.032951053458582,0.041230419671435,0.995,0.3756367132740337,4,PostAgg
circle,0.0566839061268388,0.0456710612043673,0.0427659670098854,0.995,0.3771803212356315,4,PostAgg
union,0.107358199917677,0.08388702460995,0.0657945661551516,0.8975,0.3789955171798044,4,PostAgg
point,0.1799462851154239,0.1396466385386026,0.1125383519842693,0.605,0.3082929638068435,5,SA-BNO
small,0.1388353447520485,0.1067722583678679,0.086695864068711,0.695,0.2800875515631674,5,SA-BNO
medium,0.0523548388166611,0.0414730727855458,0.0402324846104268,0.8975,0.2275056298826933,5,SA-BNO
large,0.028549269142411,0.02192901130291,0.0337528474141866,0.925,0.2160907807966474,5,SA-BNO
circle,0.0431672976936005,0.0335219508280785,0.0372334041505023,0.9025,0.2202381945813218,5,SA-BNO
union,0.060789627052661,0.0489096134953834,0.0464330045491681,0.8325,0.2283850836166363,5,SA-BNO
point,0.2943610380436088,0.2317624210964965,0.1904456058886497,0.5,0.4093991957985246,5,Centroid
small,0.2157066951682105,0.1692116675453872,0.1322346302180885,0.655,0.4091528206307003,5,Centroid
medium,0.138075704081008,0.1109266426241653,0.0858610319206832,0.815,0.408603429545498,5,Centroid
large,0.1460657554666209,0.1135520605052795,0.086697702273285,0.81,0.4090682830737653,5,Centroid
circle,0.1517621902974639,0.1172441056607955,0.0883660872017702,0.805,0.4088532716239438,5,Centroid
union,0.2191886545566255,0.1712987413657737,0.1323233326325448,0.66,0.4097104927418844,5,Centroid
point,0.2943610380436088,0.2317624210964965,0.1904456058886497,0.5,0.4093991957985246,5,PostAgg
small,0.2169362497654412,0.1701767491391957,0.1333974207360045,0.6325,0.3999706949511566,5,PostAgg
medium,0.0869583358890085,0.0692965532776596,0.0575015311082572,0.9425,0.3833004469930601,5,PostAgg
